sim,tau,bleaching,mean_brightness,sd_brightness,bleaching_type,bleaching_extent
10M,NA,exponential0.75,9.579845760761527,0.3213852787262657,exponential,0.75
10M,NA,exponential0.9,9.583240965228706,0.32793455497888985,exponential,0.9
10M,NA,exponential0.95,9.719234855465144,0.3297866249500342,exponential,0.95
10M,NA,exponential0.99,9.870638572078756,0.33106183272526174,exponential,0.99
10M,NA,linear0.5,11.502779749934954,0.2867376452236963,linear,0.5
10M,NA,linear0.75,9.618064940519362,0.32257013101124704,linear,0.75
10M,NA,linear0.9,9.5889641735564,0.32907001420328846,linear,0.9
10M,NA,linear0.95,9.720572029206952,0.33022090086184924,linear,0.95
10M,NA,linear0.99,9.87070311625312,0.33104688156458784,linear,0.99
10M,NA,none,9.914049528685213,0.33136674294346186,none,NA
10M,NA,power0.5,7.273806667506446,0.23087790431181307,power,0.5
10M,NA,power0.75,8.30915461021339,0.2827774510062253,power,0.75
10M,NA,power0.9,9.21976091098531,0.3128196783977199,power,0.9
10M,NA,power0.95,9.558751094665038,0.3219283060345413,power,0.95
10M,NA,power0.99,9.841949934609492,0.32960419437720767,power,0.99
