sim,replicate,bleaching,tau,auto_tau,brightness
05M,2,linear0.75,158,TRUE,3.032736377754442
05M,2,linear0.75,NA,FALSE,5.603534021989201
05M,2,linear0.9,10,FALSE,1.2224201704144821
05M,2,linear0.9,160,TRUE,3.198779912282841
05M,2,linear0.9,NA,FALSE,5.5725236395060636
05M,2,linear0.95,10,FALSE,1.2299352374582546
05M,2,linear0.95,160,TRUE,3.24919325341374
05M,2,linear0.95,NA,FALSE,5.636300856392073
05M,2,linear0.99,10,FALSE,1.235882706290593
05M,2,linear0.99,116,TRUE,2.9858949918758655
05M,2,linear0.99,NA,FALSE,5.710433681079793
05M,2,power0.5,10,FALSE,1.1165990178225482
05M,2,power0.5,20,TRUE,1.320166718203275
05M,2,power0.5,NA,FALSE,4.371022635710722
05M,2,power0.75,10,FALSE,1.1734669741592043
05M,2,power0.75,40,TRUE,1.7711537223556528
05M,2,power0.75,NA,FALSE,4.903243190994871
05M,2,power0.9,10,FALSE,1.2113679219170126
05M,2,power0.9,67,TRUE,2.3205596994196407
05M,2,power0.9,NA,FALSE,5.37316359472353
05M,2,power0.95,10,FALSE,1.2243519959187013
05M,2,power0.95,87,TRUE,2.6272832800248342
05M,2,power0.95,NA,FALSE,5.548563040618185
05M,2,power0.99,10,FALSE,1.2349508802828013
05M,2,power0.99,122,TRUE,3.0277053264142406
05M,2,power0.99,NA,FALSE,5.694738012586718
05M,3,none,10,FALSE,1.3158270835258095
05M,3,none,112,TRUE,3.005231708347209
05M,3,none,NA,FALSE,5.510559866653055
05M,3,exponential0.5,10,FALSE,1.2353746584994787
05M,3,exponential0.5,64,TRUE,2.119666184877083
05M,3,exponential0.5,NA,FALSE,6.277841306014712
05M,3,exponential0.75,10,FALSE,1.2775055157178263
05M,3,exponential0.75,103,TRUE,2.7043542939607352
05M,3,exponential0.75,NA,FALSE,5.325441996211048
05M,3,exponential0.9,10,FALSE,1.300495069679106
05M,3,exponential0.9,127,TRUE,3.0414042021734113
05M,3,exponential0.9,NA,FALSE,5.332734506168674
05M,3,exponential0.95,10,FALSE,1.3078887418992604
05M,3,exponential0.95,114,TRUE,2.980823056193953
05M,3,exponential0.95,NA,FALSE,5.405996005216602
05M,3,exponential0.99,10,FALSE,1.314300895061488
05M,3,exponential0.99,144,TRUE,3.2524006222162596
05M,3,exponential0.99,NA,FALSE,5.487461309625024
05M,3,linear0.5,10,FALSE,1.2494411506524603
05M,3,linear0.5,145,TRUE,2.8092820757897603
05M,3,linear0.5,NA,FALSE,6.323490755571035
